"./fpga/top/icestick"," ",
"make execution time (sec)","PNR design speed (MHz)",
16,83.56,
16,86.77,
15,91.38,
16,89.66,
15,82.03,
15,92.15,
15,83.61,
15,87.57,
15,90.06,
16,80.59,
16,89.89,
16,86.19,
16,79.47,
16,81.23,
16,83.52,
16,85.62,
16,83.32,
16,84.26,
16,79.51,
16,88.55,
16,91.27,
15,83.17,
16,84.81,
16,88.27,
16,91.21,
16,84.41,
16,85.47,
15,86.77,
16,85.93,
16,83.86,
16,84.71,
16,86.82,
16,85.98,
16,85.62,
16,82.55,
16,86.51,
15,89.27,
15,86.98,
16,80.18,
16,79.64,
16,90.34,
16,83.03,
16,83.08,
16,89.60,
16,87.14,
16,86.77,
16,88.27,
15,89.04,
15,95.17,
16,88.71,
